Iteration,Best Distance,Average Distance
690,11471.0490140247,11951.840952335639
691,11471.0490140247,11977.458376025119
692,11471.0490140247,12061.983816807031
693,11471.0490140247,11968.89294588404
694,11471.0490140247,11926.851894625961
695,11471.0490140247,11956.873509420424
696,11471.0490140247,11943.633540824752
697,11471.0490140247,11992.139796798898
698,11471.0490140247,11923.583240088376
699,11471.0490140247,11990.144141509038
700,11471.0490140247,11897.51810368344
701,11471.0490140247,11912.53405797742
702,11471.0490140247,11935.857781176794
703,11471.0490140247,11960.07767498243
704,11471.0490140247,11953.16184285333
705,11471.0490140247,11944.545870841448
706,11471.0490140247,11891.626069898093
707,11471.0490140247,11966.445489336253
708,11471.0490140247,12025.901851888371
709,11471.0490140247,11995.333373515748
710,11471.0490140247,11976.023324509335
711,11471.0490140247,11968.378522307094
712,11471.0490140247,12034.386621729145
713,11471.0490140247,11922.420256871745
714,11471.0490140247,11943.317059179384
715,11471.0490140247,11886.294551705232
716,11471.0490140247,12034.302384338755
717,11471.0490140247,11921.29849695869
718,11471.0490140247,11950.752610772908
719,11471.0490140247,11916.420967609973
720,11471.0490140247,11990.222624896078
721,11471.0490140247,12057.28858908059
722,11471.0490140247,11997.326173773512
723,11471.0490140247,11942.884482147736
724,11471.0490140247,11961.688062370753
725,11471.0490140247,12036.946076084574
726,11471.0490140247,11968.507712331659
727,11471.0490140247,12010.843353094873
728,11471.0490140247,11978.571607233325
729,11471.0490140247,11955.42239849807
730,11471.0490140247,11976.51407171118
731,11471.0490140247,11929.549630328782
732,11471.0490140247,11943.365077348346
733,11471.0490140247,12013.5649492542
734,11471.0490140247,12033.51994692274
735,11471.0490140247,11990.737120158181
736,11471.0490140247,12005.817777859129
737,11471.0490140247,12016.392321722547
738,11471.0490140247,11948.390111762745
739,11471.0490140247,11954.669736698388
740,11471.0490140247,12025.243462488257
741,11471.0490140247,12021.297740022792
742,11471.0490140247,11934.915673832893
743,11471.0490140247,11935.512410255726
744,11471.0490140247,11955.467380193213
745,11471.0490140247,12000.040605574073
746,11471.0490140247,11935.997940460276
747,11471.0490140247,11992.717453951747
748,11471.0490140247,11968.202409696358
749,11471.0490140247,11894.171256281259
750,11471.0490140247,11922.118468721837
751,11471.0490140247,11924.348821493142
752,11471.0490140247,11923.516259725075
753,11471.0490140247,11975.094234809987
754,11471.0490140247,11911.625495138887
755,11471.0490140247,11973.6782506128
756,11471.0490140247,11926.720594998358
757,11471.0490140247,12005.944997469402
758,11471.0490140247,11941.349551351075
759,11471.0490140247,11953.41768034189
760,11471.0490140247,12001.911547238604
761,11471.0490140247,11971.363776636337
762,11338.450133077311,11942.137023460285
763,11262.551974112675,11905.29462792987
764,11262.551974112675,11941.509262497635
765,11262.551974112675,12087.217932536141
766,11262.551974112675,12002.443722668935
767,11262.551974112675,12000.252184026667
768,11262.551974112675,11910.376434551894
769,11262.551974112675,11902.926888033226
770,11262.551974112675,11967.202024704675
771,11262.551974112675,11942.913756147947
